Stage I,Stage II,Stage III,Stage IV
0.48911982145348026,0.1857999721021063,0.1980053005998047,0.12707490584460873
0.7295019157088123,0.05772669220945083,0.13537675606641125,0.07739463601532567
0.4603368318281669,0.3309738833292653,0.11715889675372224,0.09153038808884549
0.18304012650721485,0.16030836133623247,0.20517888910851947,0.4514726230480332
0.23652910868204363,0.24818221216352868,0.3252756777579814,0.19001300139644628
0.41860036153023206,0.4392223410927067,0.09573172981148781,0.04644556756557347
0.45846394984326017,0.16849529780564262,0.2468652037617555,0.12617554858934169
0.2121191650341147,0.28048368573937715,0.3086536512869013,0.19874349793960683
0.6083465279348563,0.07543542185026013,0.19339515946618413,0.12282289074869938
0.11336515513126491,0.3520286396181384,0.20883054892601433,0.32577565632458233
0.5309130122214234,0.06667864845434938,0.24802300503235084,0.15438533429187634
0.33093584999792125,0.08057207001205671,0.18600590362948488,0.40248617636053713
0.6561067111296374,0.2838682784493539,0.0409545644018341,0.019070446019174656
0.1852594635246929,0.12584607671095513,0.21408874404612685,0.4748057157182251
0.04950495049504951,0.24085234610417564,0.25053809728798965,0.4591046061127852
0.08536209553158705,0.21756548536209552,0.23513097072419106,0.46194144838212636
0.39402767662053895,0.09577567370721049,0.28623452294246177,0.2239621267297888
0.1522468142186452,0.1372680527610105,0.15515314106863404,0.5553319919517102
0.4402964589623936,0.14084545704090035,0.265550370573703,0.153307713423003
0.29711602951039573,0.16800804828973842,0.36653252850435947,0.16834339369550638
0.175704989154013,0.15889370932754882,0.1963123644251627,0.4690889370932755
0.5009833350584826,0.17875996273677672,0.19252665355553256,0.12773004864920814
0.7701244813278009,0.03921161825726141,0.12634854771784232,0.06431535269709543
